,Acessibilidade da parada,Latitude,Longitude
parada_Rua_Coelho_Neto_Volta0,3657055,-5.197527893775434,-37.35589742660116
parada_Rua_Coelho_Neto_Ida0,3657200,-5.197596008880449,-37.35594034195197
parada_Avenida_Joao_da_Escossia_Ida2,3660538,-5.186856436952706,-37.35261708497906
parada_Rua_Frei_Miguelinho_Volta0,3667137,-5.19193600000001,-37.34823999999999
parada_Praca_da_Igreja_de_Nossa_Senhora_da_Conceicao_Ida,3668472,-5.201817000000008,-37.35073
parada_Avenida_Rio_Branco_Sul0,3669802,-5.196101481727309,-37.35046327113845
parada_Avenida_Rio_Branco_Sul1,3672869,-5.197025711628622,-37.35124111175184
parada_Tiinha_Restaurante_Ida,3676865,-5.193216593537619,-37.35651433467818
parada_Tiinha_Restaurante_Volta,3679247,-5.193274024319312,-37.35662564635335
parada_ADVM,3691483,-5.183932773537891,-37.34748534857847
parada_Rua_Francisco_Solon_Ida0,3696768,-5.194418631886669,-37.35682010650446
parada_Rua_Francisco_Solon_Volta0,3697553,-5.194539000000007,-37.356937
parada_Olinda_Pneus_Santo_Antonio_Ida,3701506,-5.181329000000002,-37.348965
parada_Paozao,3703483,-5.200355999887228,-37.34995700418917
parada_Aplastec_Center_Volta,3704966,-5.1969081795708165,-37.35688984394167
parada_Aplastec_Center_Ida,3705416,-5.196998000000001,-37.35692999999999
parada_FUNDAC_Ida,3708734,-5.196138878339386,-37.357420921326046
parada_FUNDAC_Volta,3709376,-5.196065420705778,-37.35747858881943
parada_Rua_Frei_Miguelinho_Volta2,3727879,-5.18998176340941,-37.35149055719757
parada_Rua_Prudente_de_Morais0,3730750,-5.186920546365229,-37.33870178461287
parada_Hotel_VillaOeste_Ida,3739887,-5.200675204454709,-37.33886472880953
parada_EE_Jeronimo_Rosado_Volta,3747690,-5.182901006951456,-37.34885193407859
parada_EE_Jeronimo_Rosado_Ida,3747956,-5.18306595615455,-37.34896056353704
parada_Friotec,3749456,-5.202108951836334,-37.34808683395647
parada_Cemiterio_Sao_Sebastiao_Lateral_Volta,3764984,-5.188648826923123,-37.34941184520967
parada_Avenida_Cunha_da_Mota0,3771012,-5.200912270502512,-37.347252666953565
parada_Rua_Marechal_Deodoro_Volta0,3777581,-5.186616026582095,-37.33612418175145
parada_Rua_Chico_Linhares_Volta0,3778580,-5.207486644062181,-37.33661368488888
parada_Mater_Christi,3779136,-5.182086945259909,-37.35026881098735
parada_Rua_Venceslau_Braz_Ida2,3786390,-5.184850343187885,-37.33683228492762
parada_Fic_Frio_Alto_de_Sao_Manoel,3801416,-5.206146398984885,-37.33549587428705
parada_Avenida_Diocesana_Ida1,3807266,-5.187639105633146,-37.35379993915906
parada_EE_Professor_Eliseu_Viana_Volta,3817524,-5.185144846699161,-37.35205046832864
parada_Rua_Professor_Manuel_Freire_Ida0,3821087,-5.198938275553441,-37.35651969909366
parada_Avenida_Diocesana_Ida0,3823355,-5.189829504274884,-37.35547363758036
parada_Rua_Professor_Manuel_Freire_Volta0,3823499,-5.198947000000008,-37.356594
parada_Avenida_Diocesana_Volta1,3856237,-5.189723991340232,-37.355633229012845
parada_Ster_Bom_Loja_da_Fabrica_Ida,3875455,-5.204104306061763,-37.3521476983997
parada_Rua_Francisco_Romualdo_Ida0,3904897,-5.192295000000004,-37.357635
parada_Lateral_Quadra_de_Esportes_CPP_Volta,3910283,-5.184310753626325,-37.334734797476536
parada_Izamar_Supermercado,3917025,-5.208545749513863,-37.33405284583933
parada_SESC_Ida,3934621,-5.180935637193045,-37.35205046832864
parada_SESC_Volta,3935367,-5.180854164039743,-37.35201157629842
parada_EE_Professor_Abel_Freire_Coelho_Volta,3944135,-5.179961965504936,-37.35280148684664
parada_Rua_Delfim_Moreira_Volta0,3953378,-5.183204860711807,-37.33530074357952
parada_Delegacia,3955646,-5.208851999999999,-37.33291
parada_EE_Doutor_Lavoisier_Maia_Volta,3955728,-5.179287473264212,-37.35348880290832
parada_EE_Doutor_Lavoisier_Maia_Ida,3958982,-5.17933488808854,-37.35351897775888
parada_EE_Professor_Abel_Freire_Coelho_Ida,3963235,-5.180034089386454,-37.35288396477512
parada_Olinda_Pneus_Santo_Antonio_Volta,3967683,-5.182337,-37.34966
parada_Avenida_Diocesana_Volta0,3967795,-5.187529585499675,-37.3539488017516
parada_Rua_Venceslau_Braz_Ida1,3984336,-5.181815813737909,-37.33490109443737
parada_Rua_Doutor_Joao_Marcelino_Volta1,3987030,-5.178306453074772,-37.35439538955618
parada_Rua_Doutor_Joao_Marcelino_Ida1,3987098,-5.178351196712179,-37.35444769263409
parada_Nogueirao_Ida,3987697,-5.184401575665071,-37.35665649176035
parada_Rua_Venceslau_Braz_Volta0,3989868,-5.181810399999999,-37.334763
parada_Rua_Doutor_Joao_Marcelino_Ida0,4006977,-5.177195207121702,-37.35557556151946
parada_Rua_Doutor_Joao_Marcelino_Volta2,4007031,-5.177140446152024,-37.35550448298735
parada_Procon_Municipal_de_Mossoro_Ida,4027474,-5.191613000000005,-37.360508
parada_Estacao_Fitness,4038398,-5.207817000000002,-37.33165
parada_ADUERN_Ida,4066009,-5.201964709122903,-37.32290223240987
parada_Tenda_Restaurante,4069926,-5.2012207901244,-37.322622612122544
parada_Mercadinho_Cocada,4082886,-5.211758447508479,-37.33193188905703
parada_Avenida_Joao_da_Escossia_Volta0,4109214,-5.18710218967877,-37.35197335481565
parada_Igreja_de_Nossa_Senhora_de_Fatima_Abolicao_Ida,4112615,-5.174338948800092,-37.3532728850863
parada_Rua_Campos_Sales_Ida0,4112916,-5.180185015256722,-37.34820485115101
parada_Pousada_Mossoro,4121270,-5.207353754921425,-37.33499698340455
parada_CITECS,4132312,-5.211478000000004,-37.331432
parada_Avenida_Joao_da_Escossia_Ida1,4140945,-5.182628540148686,-37.35960893332883
parada_Farmacia_da_familia,4145071,-5.20452170000001,-37.336723
parada_Nogueirao_Volta,4146688,-5.184548493640481,-37.35620185733255
parada_Residencial_Vingt_Un_Rosado_Volta,4159537,-5.2060400000000016,-37.329163
parada_Residencial_Vingt_Un_Rosado_Ida,4159537,-5.205992140396091,-37.32920475303767
parada_Rua_Venceslau_Braz_Ida0,4162757,-5.178428663297862,-37.33272045851036
parada_Rua_Venceslau_Braz_Volta1,4166717,-5.178402000000005,-37.332603
parada_UFERSA_Ida,4168047,-5.203127000000011,-37.32573299999999
parada_Rua_Joao_Cordeiro_Ida2,4169042,-5.176093976483048,-37.33496010303463
parada_Avenida_Francisco_Mota_Ida2,4169451,-5.200140302985237,-37.32177570461939
parada_Oeste_Trigo,4169994,-5.212936410401745,-37.331241220240166
parada_UFERSA_Volta,4170432,-5.203780000000009,-37.326023
parada_Rua_Joao_Cordeiro_Volta0,4174789,-5.1771784,-37.33316799999999
parada_Rua_Joao_Cordeiro_Ida3,4175269,-5.177253307163603,-37.33317106961756
parada_Rua_Joao_Cordeiro_Volta1,4178689,-5.176233000000001,-37.33461
parada_Rua_Joao_Cordeiro_Ida1,4182911,-5.174111890068663,-37.33785152435453
parada_Aeroporto,4194809,-5.191821,-37.362633
parada_UPA_Alto_de_Sao_Manoel_Volta,4195290,-5.210528000000001,-37.33697
parada_EE_Jose_de_Freitas_Nobre,4232090,-5.199515249009596,-37.32098579407117
parada_Rua_Presidente_Cafe_Filho_Volta0,4234593,-5.212724056713271,-37.33042985201205
parada_Farmacia_do_Trabalhador_Santo_Antonio,4234879,-5.179214681487759,-37.3500173538903
parada_Avenida_Mota_Neto_Ida6,4246022,-5.181006425338801,-37.36290067434731
parada_Splendore_Residence_Ida,4262465,-5.180210392166335,-37.363663762809125
parada_Rua_Orlando_Dantas_Volta0,4266950,-5.172997965463595,-37.33738213777517
parada_Rua_Presidente_Cafe_Filho_Volta1,4269120,-5.213351000000001,-37.32985300000001
parada_SP_Combustiveis_Centro,4278584,-5.1909489999999945,-37.35709399999999
parada_Igreja_Batista_Regular_Central,4286801,-5.18173834755845,-37.36326545477085
parada_Avenida_Francisco_Mota_Ida1,4286812,-5.19901039726549,-37.3202696442628
parada_Rua_Monsenhor_Gurgel0,4291959,-5.178197000000009,-37.34771
parada_Avenida_Alberto_Maranhao_Norte_Volta0,4303760,-5.174376346701192,-37.33401596546042
parada_Avenida_Alberto_Maranhao_Norte_Ida1,4307947,-5.174304000000009,-37.334026
parada_Avenida_Joao_da_Escossia_Ida0,4308414,-5.179135879369802,-37.365488335492245
parada_Rua_Melo_Franco_Ida2,4311767,-5.172581244964146,-37.33649700879823
parada_Rua_Melo_Franco_Volta0,4317908,-5.172543846956962,-37.33639508485913
parada_Ministerio_Publico_da_Uniao_Volta,4318649,-5.206434882469938,-37.325942516331295
parada_Avenida_Joao_da_Escossia_Volta1,4324482,-5.182789482560327,-37.35914759338168
parada_Ministerio_Publico_da_Uniao_Ida,4331222,-5.206578000000002,-37.32580999999999
parada_Cristais_do_Alto_Ida,4334411,-5.203997459951036,-37.320038974289226
parada_Avenida_Abel_Coelho_Ida2,4336368,-5.172368877673948,-37.35447317361662
parada_EM_Monsenhor_Mota,4349382,-5.177328000000001,-37.349224
parada_Avenida_Mota_Neto_Ida5,4349804,-5.182098965869958,-37.36375093459666
parada_Rua_Presidente_Cafe_Filho_Volta2,4350017,-5.214126391075314,-37.32923626900108
parada_FACENE_Ida,4354078,-5.215419300000006,-37.329662
parada_JPL_Motos_Ilha_de_Santa_Luzia_Volta,4378874,-5.201975393764838,-37.338269948959855
parada_FACENE_Volta,4382014,-5.215718370669102,-37.32948839664558
parada_ADUERN_Volta,4388688,-5.202059000000009,-37.32310499999999
parada_Posto_Ipiranga_Aeroporto_Ida,4393709,-5.19225800000001,-37.36648999999999
parada_Avenida_Mota_Neto_Ida4,4396835,-5.182889654171473,-37.36442148685546
parada_EE_Monsenhor_Raimundo_Gurgel_Volta,4407043,-5.201814999999997,-37.35790999999999
parada_Rua_Pedro_Valamira_Fernandes_Volta0,4410466,-5.2151414120920965,-37.3287990689236
parada_Splendore_Residence_Volta,4420863,-5.180398999999998,-37.36314
