person,Tempo médio de viagem,Tempo médio de espera,Mediana do tempo de viagem,Mediana do tempo de espera,Viagem mais demorada,Viagem mais curta,Viagem com mais espera,Viagem com menos espera,Quantidade de viagens
sumare_odete-rosado,01:46:41,01:11:32,01:51:58,01:13:52,01:57:40,01:25:07,01:18:01,01:00:24,4
sumare_partage-shopping,01:19:09,00:57:15,01:21:34,01:01:04,01:49:27,00:38:10,01:25:09,00:17:36,8
sumare_teatro-municipal-dix-huit-rosado,01:06:46,00:45:54,01:10:45,00:50:01,01:42:03,00:25:02,01:21:01,00:04:09,13
teatro-municipal-dix-huit-rosado_abolicao-5,00:53:20,00:24:28,00:52:32,00:23:32,01:25:07,00:25:08,00:59:59,00:00:02,18
teatro-municipal-dix-huit-rosado_bom-pastor,01:15:28,00:45:55,01:10:18,00:39:38,02:02:52,00:53:49,01:24:11,00:24:12,12
teatro-municipal-dix-huit-rosado_cidade-oeste,00:44:32,00:33:06,00:44:32,00:33:06,00:44:32,00:44:32,00:33:06,00:33:06,1
teatro-municipal-dix-huit-rosado_nova-mossoro,01:19:25,00:45:01,01:19:13,00:44:59,01:49:41,00:47:56,01:15:23,00:13:14,9
teatro-municipal-dix-huit-rosado_nova-vida,00:53:35,00:28:38,00:42:10,00:22:18,01:40:19,00:24:14,01:20:29,00:04:23,17
teatro-municipal-dix-huit-rosado_odete-rosado,01:17:14,00:53:43,01:11:28,00:52:45,01:49:23,00:49:28,01:26:36,00:19:34,6
teatro-municipal-dix-huit-rosado_partage-shopping,00:43:24,00:32:29,00:44:13,00:34:11,01:26:42,00:10:59,01:10:10,00:01:04,14
teatro-municipal-dix-huit-rosado_sumare,01:05:49,00:48:13,01:03:22,00:45:31,01:38:30,00:30:27,01:20:33,00:13:23,13
