stop,access_using_mean,access_using_median,access_using_sum
parada_Ida_Volta_Linha12,45.548919753086416,45.73518518518519,106.59074074074073
parada_Ida_Volta_Linha17,20.853395061728392,20.988888888888887,45.44814814814814
parada_Ida_Volta_Linha19,8.427777777777777,8.427777777777777,8.427777777777777
parada_Ida_Volta_Linha8,35.32691358024692,35.42407407407407,89.22037037037038
parada_Partage_Shopping,46.450462962962966,46.32962962962963,119.74814814814815
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,44.55714285714285,43.14074074074074,155.54074074074072
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,50.58101851851852,50.83148148148148,115.82777777777778
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,65.8355195473251,65.46759259259258,203.43333333333334
parada_Rua_da_Pitomba_Volta0,54.827777777777776,54.827777777777776,54.827777777777776
parada_Teatro_Municipal_Dix_Huit_Rosado,51.077564667842445,49.05462962962963,256.35555555555555
