stop,access_using_mean,access_using_median,access_using_sum
parada_Ida_Volta_Linha12,44.983024691358025,45.00462962962963,119.24814814814815
parada_Ida_Volta_Linha17,43.50037037037037,42.12314814814815,92.36666666666666
parada_Ida_Volta_Linha19,8.442592592592591,8.442592592592591,8.442592592592591
parada_Ida_Volta_Linha8,55.29549663299663,54.89444444444444,197.82962962962964
parada_Partage_Shopping,45.658760683760676,45.89444444444444,219.71666666666664
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,45.04849070682404,44.03333333333333,202.67222222222222
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,51.35697530864198,51.76481481481481,169.64444444444445
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,58.042993827160494,58.14074074074074,307.39444444444445
parada_Rua_da_Pitomba_Volta0,45.71666666666667,45.71666666666667,45.71666666666667
parada_Teatro_Municipal_Dix_Huit_Rosado,52.91266724016724,53.827777777777776,380.35555555555555
