stop,access_using_mean,access_using_median,access_using_sum
parada_Ida_Volta_Linha12,43.359164292497624,42.82962962962963,207.18703703703704
parada_Ida_Volta_Linha17,61.27885802469135,61.10185185185186,196.94814814814814
parada_Ida_Volta_Linha19,37.50092592592593,38.36574074074074,56.78703703703704
parada_Ida_Volta_Linha8,60.98713383838383,59.721296296296295,390.85370370370373
parada_Partage_Shopping,67.04279914529916,66.84722222222223,539.4314814814815
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,54.33357075023741,53.30277777777778,414.9111111111111
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,70.47630036630036,70.64074074074074,276.6611111111111
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,65.42749508978676,65.3138888888889,643.0018518518518
parada_Rua_da_Pitomba_Volta0,18.29074074074074,18.29074074074074,18.29074074074074
parada_Teatro_Municipal_Dix_Huit_Rosado,49.07789926525434,49.48796296296296,686.9537037037038
