signal id;x;y;time;signal state
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26310.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26310.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26320.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26320.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26380.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26380.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26440.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26440.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26450.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26450.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26460.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26460.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26520.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26520.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26580.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26580.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26590.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26590.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26600.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26600.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26660.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26660.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26720.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26720.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26730.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26730.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26740.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26740.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26800.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26800.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26860.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26860.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26870.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26870.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26880.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26880.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26940.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26940.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27000.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27000.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27010.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27010.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27020.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27020.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27080.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27080.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27140.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27140.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27150.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27150.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27160.0;GREEN
