signal id;x;y;time;signal state
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26400.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26430.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26430.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26430.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26490.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26490.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26560.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26560.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26560.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26590.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26590.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26590.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26650.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26650.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26720.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26720.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26720.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26750.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26750.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26750.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26810.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26810.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26880.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26880.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26880.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26910.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26910.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26910.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26970.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26970.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27040.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27040.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27040.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27070.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27070.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27070.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27130.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27130.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27200.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27200.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27200.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27230.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27230.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27230.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27290.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27290.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27360.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27360.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27360.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27390.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27390.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27390.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27450.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27450.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27520.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27520.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27520.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;27550.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;27550.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;27550.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;27610.0;GREEN
