route,trav_time_mean,wait_time_mean,trav_time_median,wait_time_median,trav_time_sum,wait_time_sum,max_trav_time_dep_time,max_trav_time,min_trav_time_dep_time,min_trav_time,max_wait_time_dep_time,max_wait_time,min_wait_time_dep_time,min_wait_time,trip_count
parada_Ida_Volta_Linha12 parada_Partage_Shopping,52.666666666666664,10.666666666666666,52.666666666666664,10.666666666666666,105.33333333333333,21.333333333333332,11:00:00,56.03333333333333,18:00:00,49.3,11:00:00,14.733333333333333,18:00:00,6.6,2
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,65.38333333333334,9.65,65.38333333333334,9.65,65.38333333333334,9.65,18:00:00,65.38333333333334,18:00:00,65.38333333333334,18:00:00,9.65,18:00:00,9.65,1
parada_Ida_Volta_Linha12 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,73.91666666666667,18.066666666666666,73.91666666666667,18.066666666666666,73.91666666666667,18.066666666666666,11:00:00,73.91666666666667,11:00:00,73.91666666666667,11:00:00,18.066666666666666,11:00:00,18.066666666666666,1
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,60.31666666666667,13.05,60.31666666666667,13.05,60.31666666666667,13.05,11:00:00,60.31666666666667,11:00:00,60.31666666666667,11:00:00,13.05,11:00:00,13.05,1
parada_Ida_Volta_Linha12 parada_Rua_da_Pitomba_Volta0,82.1,39.233333333333334,82.1,39.233333333333334,82.1,39.233333333333334,11:00:00,82.1,11:00:00,82.1,11:00:00,39.233333333333334,11:00:00,39.233333333333334,1
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,57.96333333333333,26.526666666666664,64.18333333333334,31.7,289.81666666666666,132.63333333333333,05:00:00,82.0,11:00:00,32.43333333333333,05:00:00,49.55,18:00:00,4.816666666666666,5
parada_Ida_Volta_Linha17 parada_Ida_Volta_Linha8,87.81666666666666,52.06666666666667,87.81666666666666,52.06666666666667,87.81666666666666,52.06666666666667,05:00:00,87.81666666666666,05:00:00,87.81666666666666,05:00:00,52.06666666666667,05:00:00,52.06666666666667,1
parada_Ida_Volta_Linha17 parada_Teatro_Municipal_Dix_Huit_Rosado,73.92916666666666,44.75,75.9,45.266666666666666,295.71666666666664,179.0,12:00:00,79.6,05:00:00,64.31666666666666,12:00:00,52.96666666666667,17:00:00,35.5,4
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha8,74.34166666666667,23.266666666666666,74.34166666666667,23.266666666666666,148.68333333333334,46.53333333333333,05:00:00,87.75,07:00:00,60.93333333333333,05:00:00,36.71666666666667,07:00:00,9.816666666666666,2
parada_Ida_Volta_Linha19 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,63.2,10.666666666666666,63.2,10.666666666666666,63.2,10.666666666666666,07:00:00,63.2,07:00:00,63.2,07:00:00,10.666666666666666,07:00:00,10.666666666666666,1
parada_Ida_Volta_Linha19 parada_Teatro_Municipal_Dix_Huit_Rosado,51.43333333333334,11.674999999999999,51.43333333333334,11.674999999999999,102.86666666666667,23.349999999999998,05:00:00,62.833333333333336,07:00:00,40.03333333333333,05:00:00,23.083333333333332,07:00:00,0.26666666666666666,2
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha12,82.95,21.675,82.95,21.675,165.9,43.35,11:00:00,89.26666666666667,13:00:00,76.63333333333334,13:00:00,23.416666666666668,11:00:00,19.933333333333334,2
parada_Ida_Volta_Linha8 parada_Partage_Shopping,47.13333333333333,14.208333333333334,47.13333333333333,14.208333333333334,94.26666666666667,28.416666666666668,11:00:00,56.13333333333333,13:00:00,38.13333333333333,13:00:00,15.15,11:00:00,13.266666666666667,2
parada_Ida_Volta_Linha8 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,67.51666666666667,18.316666666666666,67.51666666666667,18.316666666666666,67.51666666666667,18.316666666666666,13:00:00,67.51666666666667,13:00:00,67.51666666666667,13:00:00,18.316666666666666,13:00:00,18.316666666666666,1
parada_Ida_Volta_Linha8 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,81.95,34.95,81.95,34.95,81.95,34.95,13:00:00,81.95,13:00:00,81.95,13:00:00,34.95,13:00:00,34.95,1
parada_Ida_Volta_Linha8 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,64.12083333333334,20.925,68.36666666666666,22.825000000000003,256.48333333333335,83.7,09:00:00,78.25,13:00:00,41.5,09:00:00,27.283333333333335,11:00:00,10.766666666666667,4
parada_Ida_Volta_Linha8 parada_Rua_da_Pitomba_Volta0,82.45,36.38333333333333,82.45,36.38333333333333,82.45,36.38333333333333,11:00:00,82.45,11:00:00,82.45,11:00:00,36.38333333333333,11:00:00,36.38333333333333,1
parada_Ida_Volta_Linha8 parada_Teatro_Municipal_Dix_Huit_Rosado,60.27619047619048,15.495238095238095,70.78333333333333,18.3,421.93333333333334,108.46666666666667,12:00:00,85.11666666666666,13:00:00,25.133333333333333,12:00:00,32.31666666666667,13:00:00,1.75,7
parada_Partage_Shopping parada_Ida_Volta_Linha12,82.98333333333333,29.391666666666666,82.98333333333333,29.391666666666666,165.96666666666667,58.78333333333333,11:00:00,89.4,13:00:00,76.56666666666666,13:00:00,38.166666666666664,11:00:00,20.616666666666667,2
parada_Partage_Shopping parada_Ida_Volta_Linha17,66.78333333333333,31.775,66.78333333333333,31.775,133.56666666666666,63.55,16:00:00,83.98333333333333,12:00:00,49.583333333333336,16:00:00,41.18333333333333,12:00:00,22.366666666666667,2
parada_Partage_Shopping parada_Ida_Volta_Linha19,38.05,9.883333333333333,38.05,9.883333333333333,38.05,9.883333333333333,18:00:00,38.05,18:00:00,38.05,18:00:00,9.883333333333333,18:00:00,9.883333333333333,1
parada_Partage_Shopping parada_Ida_Volta_Linha8,65.17916666666666,35.170833333333334,62.28333333333333,33.09166666666667,260.71666666666664,140.68333333333334,13:00:00,76.46666666666667,18:00:00,59.68333333333333,13:00:00,53.2,10:00:00,21.3,4
parada_Partage_Shopping parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,69.97380952380952,28.795238095238094,67.43333333333334,33.05,489.81666666666666,201.56666666666666,08:00:00,87.28333333333333,07:00:00,50.5,19:00:00,47.766666666666666,17:00:00,8.183333333333334,7
parada_Partage_Shopping parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,77.47666666666666,33.11,81.85,33.333333333333336,387.3833333333333,165.55,15:00:00,89.81666666666666,07:00:00,58.03333333333333,13:00:00,48.666666666666664,11:00:00,21.733333333333334,5
parada_Partage_Shopping parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,61.22638888888889,20.622222222222224,59.86666666666666,16.225,734.7166666666667,247.46666666666667,19:00:00,82.6,12:00:00,41.233333333333334,19:00:00,44.31666666666667,16:00:00,6.233333333333333,12
parada_Partage_Shopping parada_Rua_da_Pitomba_Volta0,82.08333333333333,42.46666666666667,82.08333333333333,42.46666666666667,82.08333333333333,42.46666666666667,11:00:00,82.08333333333333,11:00:00,82.08333333333333,11:00:00,42.46666666666667,11:00:00,42.46666666666667,1
parada_Partage_Shopping parada_Teatro_Municipal_Dix_Huit_Rosado,28.914102564102564,10.775641025641026,26.45,5.183333333333334,375.8833333333333,140.08333333333334,06:00:00,69.86666666666666,13:00:00,6.45,06:00:00,45.483333333333334,11:00:00,0.15,13
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha12,89.41666666666667,20.066666666666666,89.41666666666667,20.066666666666666,89.41666666666667,20.066666666666666,11:00:00,89.41666666666667,11:00:00,89.41666666666667,11:00:00,20.066666666666666,11:00:00,20.066666666666666,1
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha17,84.1,21.683333333333334,84.1,21.683333333333334,84.1,21.683333333333334,16:00:00,84.1,16:00:00,84.1,16:00:00,21.683333333333334,16:00:00,21.683333333333334,1
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha8,67.76666666666667,15.799999999999999,67.06666666666666,17.916666666666668,203.3,47.4,13:00:00,76.51666666666667,18:00:00,59.71666666666667,13:00:00,20.65,21:00:00,8.833333333333334,3
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Partage_Shopping,75.125,30.81666666666667,75.125,30.81666666666667,150.25,61.63333333333334,08:00:00,83.01666666666667,16:00:00,67.23333333333333,08:00:00,42.6,16:00:00,19.033333333333335,2
