route,trav_time_mean,wait_time_mean,trav_time_median,wait_time_median,trav_time_sum,wait_time_sum,max_trav_time_dep_time,max_trav_time,min_trav_time_dep_time,min_trav_time,max_wait_time_dep_time,max_wait_time,min_wait_time_dep_time,min_wait_time,trip_count
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha17,76.51666666666667,29.2,76.51666666666667,29.2,76.51666666666667,29.2,05:30:00,76.51666666666667,05:30:00,76.51666666666667,05:30:00,29.2,05:30:00,29.2,1
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha19,74.68333333333334,22.516666666666666,74.68333333333334,22.516666666666666,74.68333333333334,22.516666666666666,05:30:00,74.68333333333334,05:30:00,74.68333333333334,05:30:00,22.516666666666666,05:30:00,22.516666666666666,1
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha8,85.08333333333333,39.35,85.08333333333333,39.35,85.08333333333333,39.35,14:30:00,85.08333333333333,14:30:00,85.08333333333333,14:30:00,39.35,14:30:00,39.35,1
parada_Ida_Volta_Linha12 parada_Partage_Shopping,66.66666666666667,19.420833333333334,65.24166666666667,17.9,533.3333333333334,155.36666666666667,10:30:00,86.3,18:00:00,49.68333333333333,10:30:00,39.2,18:00:00,6.633333333333334,8
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,64.95555555555556,7.1000000000000005,65.76666666666667,5.966666666666667,194.86666666666667,21.3,07:30:00,68.11666666666666,14:30:00,60.983333333333334,18:00:00,9.833333333333334,07:30:00,5.5,3
parada_Ida_Volta_Linha12 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,74.23333333333333,17.483333333333334,74.23333333333333,17.483333333333334,74.23333333333333,17.483333333333334,11:00:00,74.23333333333333,11:00:00,74.23333333333333,11:00:00,17.483333333333334,11:00:00,17.483333333333334,1
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,68.0,17.563333333333333,65.41666666666667,12.866666666666667,340.0,87.81666666666666,05:30:00,88.2,14:30:00,54.3,05:30:00,36.03333333333333,14:30:00,7.25,5
parada_Ida_Volta_Linha12 parada_Rua_da_Pitomba_Volta0,82.31666666666666,38.916666666666664,82.31666666666666,38.916666666666664,82.31666666666666,38.916666666666664,11:00:00,82.31666666666666,11:00:00,82.31666666666666,11:00:00,38.916666666666664,11:00:00,38.916666666666664,1
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,55.45416666666667,21.42222222222222,57.59166666666667,20.25,665.45,257.06666666666666,05:00:00,82.16666666666667,14:30:00,32.36666666666667,05:00:00,49.55,07:30:00,2.0,12
parada_Ida_Volta_Linha17 parada_Ida_Volta_Linha19,74.75,30.516666666666666,74.75,30.516666666666666,74.75,30.516666666666666,05:30:00,74.75,05:30:00,74.75,05:30:00,30.516666666666666,05:30:00,30.516666666666666,1
