route,trav_time_mean,wait_time_mean,trav_time_median,wait_time_median,trav_time_sum,wait_time_sum,max_trav_time_dep_time,max_trav_time,min_trav_time_dep_time,min_trav_time,max_wait_time_dep_time,max_wait_time,min_wait_time_dep_time,min_wait_time,trip_count
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha8,79.91666666666667,32.275,79.91666666666666,32.275,959.0,387.3,14:30:00,85.78333333333333,16:23:00,74.05,14:30:00,38.3,16:23:00,26.25,12
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,68.92666666666668,10.275,66.14166666666668,8.158333333333333,2067.8,308.25,12:42:00,87.06666666666666,18:10:00,57.03333333333333,12:42:00,24.533333333333335,14:35:00,1.5333333333333334,30
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,61.224999999999994,10.238888888888889,60.50833333333334,9.708333333333334,2204.1,368.6,16:18:00,72.13333333333334,14:35:00,50.45,05:50:00,20.0,14:35:00,1.7666666666666666,36
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,34.23111111111111,5.974444444444445,31.183333333333334,3.283333333333333,1540.4,268.85,05:00:00,83.5,11:05:00,28.216666666666665,05:00:00,50.483333333333334,18:10:00,0.5166666666666667,45
parada_Ida_Volta_Linha17 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,55.300000000000004,15.799999999999999,55.3,15.8,165.9,47.4,11:48:00,56.28333333333333,11:50:00,54.31666666666667,11:48:00,16.65,11:50:00,14.95,3
parada_Ida_Volta_Linha17 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,42.705555555555556,11.5,44.28333333333333,12.716666666666667,384.35,103.5,06:58:00,51.36666666666667,11:50:00,32.46666666666667,06:58:00,20.283333333333335,11:50:00,1.5,9
parada_Ida_Volta_Linha17 parada_Teatro_Municipal_Dix_Huit_Rosado,34.14416666666666,9.921666666666667,21.90833333333333,2.0166666666666666,682.8833333333333,198.43333333333334,17:12:00,61.1,13:00:00,19.833333333333332,17:15:00,27.333333333333332,13:00:00,0.2833333333333333,20
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha17,65.65,39.266666666666666,65.65,39.266666666666666,196.95000000000002,117.8,05:40:00,66.63333333333334,05:42:00,64.66666666666667,05:40:00,40.166666666666664,05:42:00,38.36666666666667,3
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha8,48.2375,16.670833333333334,48.541666666666664,16.816666666666666,192.95,66.68333333333334,05:40:00,50.016666666666666,07:17:00,45.85,05:40:00,18.166666666666668,07:17:00,14.883333333333333,4
parada_Ida_Volta_Linha19 parada_Partage_Shopping,69.30833333333334,43.91666666666667,69.30833333333334,43.91666666666667,277.23333333333335,175.66666666666669,05:40:00,70.76666666666667,05:43:00,67.85,05:40:00,45.25,05:43:00,42.583333333333336,4
parada_Ida_Volta_Linha19 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,84.41333333333333,42.92666666666666,84.63333333333334,43.166666666666664,422.06666666666666,214.63333333333333,05:40:00,86.58333333333333,07:17:00,81.58333333333333,05:40:00,44.95,07:17:00,40.18333333333333,5
parada_Ida_Volta_Linha19 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,72.94583333333334,33.07083333333333,72.94166666666666,33.06666666666666,291.78333333333336,132.28333333333333,05:40:00,74.41666666666667,05:43:00,71.48333333333333,05:40:00,34.416666666666664,05:43:00,31.733333333333334,4
parada_Ida_Volta_Linha19 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,55.36944444444445,23.594444444444445,59.075,27.0,332.2166666666667,141.56666666666666,05:40:00,61.53333333333333,07:18:00,45.5,05:40:00,29.25,07:18:00,14.533333333333333,6
parada_Ida_Volta_Linha19 parada_Teatro_Municipal_Dix_Huit_Rosado,22.097222222222225,4.141666666666667,22.266666666666666,4.341666666666667,132.58333333333334,24.85,07:17:00,23.266666666666666,05:43:00,20.283333333333335,07:17:00,5.366666666666666,05:43:00,2.466666666666667,6
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha17,67.93333333333334,40.95666666666666,67.96666666666667,41.1,339.6666666666667,204.78333333333333,16:15:00,69.93333333333334,16:19:00,65.91666666666667,16:15:00,42.016666666666666,16:19:00,40.233333333333334,5
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha19,78.92916666666666,33.33125,78.54166666666666,33.31666666666666,631.4333333333333,266.65,05:22:00,83.08333333333333,05:30:00,75.0,05:26:00,34.45,05:30:00,32.266666666666666,8
parada_Ida_Volta_Linha8 parada_Partage_Shopping,84.57916666666667,41.44375,84.18333333333334,41.49166666666667,676.6333333333333,331.55,05:22:00,88.73333333333333,05:30:00,80.65,05:26:00,42.55,05:24:00,40.43333333333333,8
parada_Ida_Volta_Linha8 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,74.36666666666667,24.028666666666666,73.0,22.2,1859.1666666666667,600.7166666666667,11:17:00,87.1,13:04:00,65.23333333333333,11:17:00,35.88333333333333,13:02:00,16.15,25
parada_Ida_Volta_Linha8 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,86.46333333333334,33.205,86.5,33.266666666666666,864.6333333333333,332.05,05:26:00,88.55,14:42:00,84.36666666666666,05:26:00,36.8,14:42:00,30.083333333333332,10
parada_Ida_Volta_Linha8 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,44.75258620689655,14.016666666666667,42.266666666666666,10.8,2595.65,812.9666666666667,05:22:00,79.48333333333333,09:52:00,26.933333333333334,05:26:00,31.666666666666668,09:52:00,6.6,58
parada_Ida_Volta_Linha8 parada_Teatro_Municipal_Dix_Huit_Rosado,24.851360544217687,1.0227891156462585,24.583333333333332,1.0166666666666666,1217.7166666666667,50.11666666666667,05:17:00,35.016666666666666,05:30:00,21.9,05:17:00,3.1,17:54:00,0.13333333333333333,49
parada_Partage_Shopping parada_Ida_Volta_Linha8,63.25833333333333,37.63333333333333,63.25833333333333,37.63333333333333,253.03333333333333,150.53333333333333,06:58:00,64.73333333333333,07:01:00,61.78333333333333,06:58:00,38.983333333333334,07:01:00,36.28333333333333,4
parada_Partage_Shopping parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,53.041666666666664,13.783333333333333,53.041666666666664,13.783333333333333,212.16666666666666,55.13333333333333,06:58:00,54.516666666666666,07:01:00,51.56666666666667,06:58:00,15.083333333333334,07:01:00,12.483333333333333,4
parada_Partage_Shopping parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,63.38333333333333,37.360416666666666,50.325,24.183333333333334,507.06666666666666,298.8833333333333,07:50:00,88.61666666666666,07:49:00,46.8,07:50:00,62.53333333333333,07:49:00,20.85,8
parada_Partage_Shopping parada_Teatro_Municipal_Dix_Huit_Rosado,39.44027777777777,33.78333333333333,57.416666666666664,51.79166666666667,473.2833333333333,405.4,08:40:00,63.0,07:01:00,8.966666666666667,08:40:00,57.46666666666667,07:01:00,3.466666666666667,12
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha17,73.6,28.004166666666666,73.50833333333333,27.833333333333336,588.8,224.03333333333333,05:29:00,78.03333333333333,05:37:00,69.95,05:31:00,29.416666666666668,05:34:00,26.716666666666665,8
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha8,66.75136612021858,21.192622950819672,61.06666666666667,17.0,4071.8333333333335,1292.75,11:10:00,89.91666666666667,08:45:00,47.71666666666667,08:03:00,46.516666666666666,07:09:00,3.1666666666666665,61
